year,month,FRM30_rate,treasury_3mon_rate,delta_F,delta_t
2000,1,8.21,5.3200002,,
2000,2,8.3249998,5.5500002,,
2000,3,8.2399998,5.6900001,,
2000,4,8.1525002,5.6599998,,
2000,5,8.5150003,5.79,,
2000,6,8.2880001,5.6900001,,
2000,7,8.1475,5.96,,
2000,8,8.0275002,6.0900002,,
2000,9,7.9120002,6,,
2000,10,7.7950001,6.1100001,,
2000,11,7.7449999,6.1700001,,
2000,12,7.382,5.77,,
2001,1,7.0325003,5.1500001,-1.1774997,-0.1700001
2001,2,7.0500002,4.8800001,-1.2749996,-0.6700001
2001,3,6.9520001,4.4200001,-1.2879997,-1.27
2001,4,7.0774999,3.8699999,-1.0750003,-1.7899999
2001,5,7.145,3.6199999,-1.3700003,-2.1700001
2001,6,7.1599998,3.49,-1.1280003,-2.2000001
2001,7,7.1275001,3.51,-1.0199999,-2.45
2001,8,6.9499998,3.3599999,-1.0775004,-2.7300003
2001,9,6.8175001,2.6400001,-1.0945001,-3.3599999
2001,10,6.6174998,2.1600001,-1.1775003,-3.95
2001,11,6.658,1.87,-1.0869999,-4.3000001
2001,12,7.0650001,1.6900001,-0.3169999,-4.0799999
2002,1,6.9974999,1.65,-0.0350004,-3.5000001
2002,2,6.8924999,1.72,-0.1575003,-3.1600001
2002,3,7.0139999,1.79,0.0619998,-2.6300001
2002,4,6.9850001,1.71,-0.0924998,-2.1599999
2002,5,6.8060002,1.73,-0.3389998,-1.8899999
2002,6,6.6500001,1.7,-0.5099997,-1.79
2002,7,6.4850001,1.6799999,-0.6425,-1.8300001
2002,8,6.29,1.62,-0.6599998,-1.7399999
2002,9,6.0924997,1.63,-0.7250004,-1.0100001
2002,10,6.1125002,1.58,-0.5049996,-0.5800001
2002,11,6.0680003,1.23,-0.5899997,-0.64
2002,12,6.0475001,1.1900001,-1.0175,-0.5
2003,1,5.9159999,1.17,-1.0815,-0.48
2003,2,5.8425002,1.17,-1.0499997,-0.55
2003,3,5.7449999,1.13,-1.269,-0.66
2003,4,5.8125,1.13,-1.1725001,-0.58
2003,5,5.4839997,1.0700001,-1.3220005,-0.6599999
2003,6,5.23,0.92000002,-1.4200001,-0.77999998
2003,7,5.6325002,0.89999998,-0.8524999,-0.77999992
2003,8,6.2639999,0.94999999,-0.0260001,-0.67000001
2003,9,6.1475,0.94,0.0550003,-0.69
2003,10,5.9520001,0.92000002,-0.1605001,-0.65999998
2003,11,5.9324999,0.93000001,-0.1355004,-0.29999999
2003,12,5.8759999,0.89999998,-0.1715002,-0.29000012
2004,1,5.7124996,0.88,-0.2035003,-0.29
2004,2,5.6349998,0.93000001,-0.2075004,-0.23999999
2004,3,5.4450002,0.94,-0.2999997,-0.19
2004,4,5.8299999,0.94,0.0174999,-0.19
2004,5,6.27,1.02,0.7860003,-0.0500001
2004,6,6.2875004,1.27,1.0575004,0.34999998
2004,7,6.0560002,1.33,0.4235,0.43000002
2004,8,5.8674998,1.48,-0.3965001,0.53000001
2004,9,5.7539997,1.65,-0.3935003,0.71
2004,10,5.7224998,1.76,-0.2295003,0.83999998
2004,11,5.73,2.0699999,-0.2024999,1.13999989
2004,12,5.7519999,2.1900001,-0.124,1.29000012
2005,1,5.71,2.3299999,-0.0024996,1.4499999
2005,2,5.6275001,2.54,-0.0074997,1.60999999
2005,3,5.928,2.74,0.4829998,1.8
2005,4,5.855,2.78,0.0250001,1.84
2005,5,5.7200003,2.8399999,-0.5499997,1.8199999
2005,6,5.5820003,2.97,-0.7055001,1.7
2005,7,5.6949997,3.22,-0.3610005,1.89
2005,8,5.8200002,3.4400001,-0.0474996,1.9600001
2005,9,5.7740002,3.4200001,0.0200005,1.7700001
2005,10,6.0650001,3.71,0.3425003,1.95
2005,11,6.3299999,3.8800001,0.5999999,1.8100002
2005,12,6.2720003,3.8900001,0.5200004,1.7
2006,1,6.145,4.2399998,0.435,1.9099999
2006,2,6.2525001,4.4299998,0.625,1.8899998
2006,3,6.3239999,4.5100002,0.3959999,1.7700002
2006,4,6.5074997,4.5999999,0.6524997,1.8199999
2006,5,6.5974998,4.7199998,0.8774995,1.8799999
2006,6,6.6820002,4.79,1.0999999,1.82
2006,7,6.7624998,4.9499998,1.0675001,1.7299998
2006,8,6.5240002,4.96,0.704,1.5199999
2006,9,6.4025002,4.8099999,0.6285,1.3899998
2006,10,6.3575001,4.9200001,0.2925,1.2100001
2006,11,6.2399998,4.9400001,-0.0900001,1.06
2006,12,6.1350002,4.8499999,-0.1370001,0.9599998
2007,1,6.2174997,4.98,,
2007,2,6.2849998,5.0300002,,
2007,3,6.1559997,4.9400001,,
2007,4,6.1799998,4.8699999,,
2007,5,6.2620001,4.73,,
2007,6,6.6575003,4.6100001,,
2007,7,6.6950002,4.8200002,,
2007,8,6.572,4.1999998,,
2007,9,6.3825002,3.8900001,,
2007,10,6.375,3.9000001,,
2007,11,6.2079997,3.27,,
2007,12,6.0950003,3,,
2008,1,5.7579999,2.75,,
2008,2,5.9175,2.1199999,,
2008,3,5.9700003,1.26,,
2008,4,5.9175,1.29,,
2008,5,6.0360003,1.73,,
2008,6,6.3200002,1.86,,
2008,7,6.4260001,1.63,,
2008,8,6.4775,1.72,,
2008,9,6.0374999,1.13,,
2008,10,6.1999998,0.67000002,,
2008,11,6.0874996,0.19,,
2008,12,5.2859998,0.029999999,,
2009,1,5.0475001,0.13,,
2009,2,5.1300001,0.30000001,,
2009,3,5.0025001,0.20999999,,
2009,4,4.8099999,0.16,,
2009,5,4.8575001,0.18000001,,
2009,6,5.4200001,0.18000001,,
2009,7,5.2220001,0.18000001,,
2009,8,5.1925001,0.17,,
2009,9,5.0574999,0.12,,
2009,10,4.9520001,0.07,,
2009,11,4.875,0.050000001,,
2009,12,4.9299998,0.050000001,,
2010,1,5.0299997,0.059999999,,
2010,2,4.9899998,0.11,,
2010,3,4.9674997,0.15000001,,
2010,4,5.098,0.16,,
2010,5,4.8874998,0.16,,
2010,6,4.7375002,0.12,,
2010,7,4.5640001,0.16,,
2010,8,4.4274998,0.16,,
2010,9,4.3460002,0.15000001,,
2010,10,4.2249999,0.13,,
2010,11,4.3000002,0.14,,
2010,12,4.7140002,0.14,,
2011,1,4.7550001,0.15000001,,
2011,2,4.9524999,0.13,,
2011,3,4.836,0.1,,
2011,4,4.8400002,0.059999999,,
2011,5,4.6374998,0.039999999,,
2011,6,4.5100002,0.039999999,,
2011,7,4.5450001,0.039999999,,
2011,8,4.27,0.02,,
2011,9,4.1059999,0.01,,
2011,10,4.0675001,0.02,,
2011,11,3.9925001,0.01,,
2011,12,3.9579999,0.01,,
2012,1,3.915,0.029999999,,
2012,2,3.8899999,0.090000004,,
2012,3,3.954,0.079999998,,
2012,4,3.9100001,0.079999998,,
2012,5,3.7979999,0.090000004,,
2012,6,3.6750002,0.090000004,,
2012,7,3.55,0.1,,
2012,8,3.602,0.1,,
2012,9,3.4974999,0.11,,
2012,10,3.3824999,0.1,,
2012,11,3.352,0.090000004,,
2012,12,3.3449998,0.07,,
2013,1,3.414,0.07,,
2013,2,3.5325,0.1,,
2013,3,3.5650001,0.090000004,,
2013,4,3.4450002,0.059999999,,
2013,5,3.536,0.039999999,,
2013,6,4.0700002,0.050000001,,
2013,7,4.3699999,0.039999999,,
2013,8,4.4559999,0.039999999,,
2013,9,4.4900002,0.02,,
2013,10,4.1919999,0.050000001,,
2013,11,4.2550001,0.07,,
2013,12,4.4575,0.07,,
2014,1,4.4320002,0.039999999,,
2014,2,4.3024998,0.050000001,,
2014,3,4.3425002,0.050000001,,
2014,4,4.3375001,0.029999999,,
2014,5,4.1919999,0.029999999,,
2014,6,4.1624999,0.039999999,,
